fy_id,fy_title,fy_type,fy_status,platform,xzq,sq,jd,wd,month_zj,jzmj,is_dt,zx_qk
BJ0000001,方庄32.9㎡简装整租,整租,在租,链家,丰台区,方庄,116.306324,39.838091,3959,32.9,是,简装
BJ0000002,西罗园55.6㎡毛坯整租,整租,在租,安居客,丰台区,西罗园,116.280562,39.854437,3449,55.6,否,毛坯
BJ0000003,酒仙桥79.2㎡简装整租,整租,在租,安居客,朝阳区,酒仙桥,116.430428,39.88842,7312,79.2,否,简装
BJ0000004,青塔27.1㎡简装整租,整租,已租,链家,丰台区,青塔,116.317836,39.847431,6205,27.1,否,简装
BJ0000005,昌平镇58.7㎡精装整租,整租,在租,贝壳找房,昌平区,昌平镇,116.213438,40.231555,4822,58.7,否,精装
BJ0000006,北苑32.0㎡精装合租,合租,在租,58同城,通州区,北苑,116.654081,39.891096,1498,32.0,否,精装
BJ0000007,北七家50.6㎡毛坯整租,整租,在租,自如,昌平区,北七家,116.216436,40.202119,3155,50.6,否,毛坯
BJ0000008,上地26.0㎡简装合租,合租,在租,贝壳找房,海淀区,上地,116.317599,39.962418,2168,26.0,否,简装
BJ0000009,王府井39.8㎡简装整租,整租,待审核,58同城,东城区,王府井,116.444888,39.900727,8586,39.8,是,简装
BJ0000010,梨园87.3㎡精装整租,整租,待审核,58同城,通州区,梨园,116.671637,39.912458,4640,87.3,否,精装
BJ0000011,沙河21.9㎡简装合租,合租,待审核,链家,昌平区,沙河,116.268951,40.241657,1207,21.9,是,简装
BJ0000012,后沙峪40.0㎡豪装整租,整租,在租,贝壳找房,顺义区,后沙峪,116.662416,40.129288,7812,40.0,是,豪装
BJ0000013,管庄10.5㎡精装合租,合租,在租,安居客,朝阳区,管庄,116.442379,39.886537,2318,10.5,否,精装
BJ0000014,潘家园19.2㎡简装合租,合租,在租,贝壳找房,朝阳区,潘家园,116.463921,39.936189,2288,19.2,否,简装
BJ0000015,五道口52.8㎡精装整租,整租,在租,链家,海淀区,五道口,116.285047,39.966365,9536,52.8,否,精装
BJ0000016,清河14.8㎡简装合租,合租,在租,安居客,海淀区,清河,116.296833,39.962439,2239,14.8,是,简装
BJ0000017,九棵树23.0㎡豪装合租,合租,在租,58同城,通州区,九棵树,116.650986,39.906862,1722,23.0,否,豪装
BJ0000018,劲松21.5㎡精装合租,合租,在租,安居客,朝阳区,劲松,116.414715,39.895679,3313,21.5,否,精装
BJ0000019,土桥13.9㎡精装合租,合租,待审核,安居客,通州区,土桥,116.683982,39.94702,1784,13.9,是,精装
BJ0000020,北太平庄18.4㎡简装合租,合租,在租,安居客,海淀区,北太平庄,116.28082,39.975027,2588,18.4,是,简装
BJ0000021,黄村26.4㎡毛坯合租,合租,在租,贝壳找房,大兴区,黄村,116.361138,39.691373,1050,26.4,是,毛坯
BJ0000022,五道口30.8㎡精装合租,合租,在租,链家,海淀区,五道口,116.333328,39.964874,3231,30.8,是,精装
BJ0000023,九棵树18.0㎡精装合租,合租,待审核,链家,通州区,九棵树,116.636195,39.901163,1650,18.0,否,精装
BJ0000024,亚运村55.3㎡精装整租,整租,在租,链家,朝阳区,亚运村,116.443971,39.891597,7795,55.3,是,精装
BJ0000025,庙城21.4㎡精装合租,合租,在租,自如,怀柔区,庙城,116.633915,40.329529,1425,21.4,否,精装
BJ0000026,上地14.7㎡简装合租,合租,在租,链家,海淀区,上地,116.315409,39.935588,3034,14.7,否,简装
BJ0000027,陶然亭28.5㎡精装整租,整租,在租,自如,西城区,陶然亭,116.329527,39.898685,11168,28.5,是,精装
BJ0000028,望京79.0㎡精装整租,整租,已租,链家,朝阳区,望京,116.470268,39.927601,9943,79.0,否,精装
BJ0000029,苹果园106.0㎡毛坯整租,整租,已租,58同城,石景山区,苹果园,116.237265,39.918955,5952,106.0,是,毛坯
BJ0000030,双井58.2㎡毛坯整租,整租,在租,自如,朝阳区,双井,116.405483,39.939925,7542,58.2,否,毛坯
BJ0000031,黄村11.5㎡豪装合租,合租,在租,链家,大兴区,黄村,116.331903,39.689898,2709,11.5,是,豪装
BJ0000032,五道口27.0㎡豪装合租,合租,在租,贝壳找房,海淀区,五道口,116.335351,39.94163,3058,27.0,否,豪装
BJ0000033,平谷城区71.1㎡精装整租,整租,在租,58同城,平谷区,平谷城区,117.127647,40.179284,4696,71.1,是,精装
BJ0000034,双井11.7㎡简装合租,合租,在租,58同城,朝阳区,双井,116.403635,39.955046,2961,11.7,是,简装
BJ0000035,万寿路13.7㎡简装合租,合租,在租,贝壳找房,海淀区,万寿路,116.311071,39.92927,2927,13.7,是,简装
BJ0000036,亦庄26.2㎡精装合租,合租,在租,链家,大兴区,亦庄,116.350541,39.710876,1541,26.2,否,精装
BJ0000037,磁器口15.3㎡简装合租,合租,待审核,自如,东城区,磁器口,116.43005,39.929394,3136,15.3,是,简装
BJ0000038,学院路47.8㎡简装整租,整租,在租,链家,海淀区,学院路,116.275971,39.93523,9534,47.8,是,简装
BJ0000039,管庄98.3㎡毛坯整租,整租,在租,58同城,朝阳区,管庄,116.434218,39.912972,8711,98.3,是,毛坯
BJ0000040,安定门25.0㎡简装整租,整租,在租,贝壳找房,东城区,安定门,116.449398,39.898209,9435,25.0,是,简装
BJ0000041,龙泽25.3㎡毛坯整租,整租,在租,链家,昌平区,龙泽,116.225339,40.253248,5013,25.3,是,毛坯
BJ0000042,北太平庄77.9㎡简装整租,整租,已租,贝壳找房,海淀区,北太平庄,116.264199,39.942158,6156,77.9,是,简装
BJ0000043,双井72.5㎡精装整租,整租,在租,安居客,朝阳区,双井,116.429971,39.918274,5338,72.5,否,精装
BJ0000044,北新桥8㎡简装合租,合租,已租,安居客,东城区,北新桥,116.399889,39.919699,3059,8,否,简装
BJ0000045,和平里79.3㎡简装整租,整租,在租,58同城,东城区,和平里,116.410867,39.890822,5997,79.3,是,简装
BJ0000046,方庄23.8㎡精装合租,合租,在租,链家,丰台区,方庄,116.253716,39.852789,1788,23.8,否,精装
BJ0000047,沙河8㎡精装整租,整租,已租,链家,昌平区,沙河,116.251361,40.247254,3949,8,否,精装
BJ0000048,临河里11.7㎡精装合租,合租,在租,58同城,通州区,临河里,116.619582,39.889283,2066,11.7,是,精装
BJ0000049,万寿路20.8㎡毛坯合租,合租,待审核,链家,海淀区,万寿路,116.271423,39.96788,1645,20.8,是,毛坯
BJ0000050,新街口17.4㎡毛坯合租,合租,待审核,链家,西城区,新街口,116.33208,39.927249,3103,17.4,是,毛坯
BJ0000051,旧宫39.6㎡精装整租,整租,在租,58同城,大兴区,旧宫,116.34392,39.739722,5423,39.6,是,精装
BJ0000052,三里屯79.0㎡简装整租,整租,在租,安居客,朝阳区,三里屯,116.462204,39.958238,8446,79.0,是,简装
BJ0000053,北七家15.3㎡简装合租,合租,在租,安居客,昌平区,北七家,116.26597,40.203014,1596,15.3,是,简装
BJ0000054,学院路45.3㎡豪装整租,整租,在租,链家,海淀区,学院路,116.328426,39.975395,6174,45.3,否,豪装
BJ0000055,西红门49.6㎡精装整租,整租,在租,链家,大兴区,西红门,116.339387,39.743747,5947,49.6,是,精装
BJ0000056,儒林街道75.6㎡精装整租,整租,已租,链家,延庆区,儒林街道,115.961463,40.472928,2337,75.6,是,精装
BJ0000057,亚运村29.3㎡简装合租,合租,已租,安居客,朝阳区,亚运村,116.462588,39.90312,2397,29.3,是,简装
BJ0000058,望京16.6㎡毛坯合租,合租,在租,链家,朝阳区,望京,116.481444,39.925269,2111,16.6,否,毛坯
BJ0000059,磁器口91.7㎡精装整租,整租,已租,安居客,东城区,磁器口,116.403256,39.96574,9445,91.7,是,精装
BJ0000060,良乡20.8㎡毛坯合租,合租,在租,58同城,房山区,良乡,116.182813,39.722476,816,20.8,否,毛坯
BJ0000061,牛街19.1㎡豪装合租,合租,在租,58同城,西城区,牛街,116.35043,39.921682,4136,19.1,是,豪装
BJ0000062,劲松81.6㎡精装整租,整租,在租,链家,朝阳区,劲松,116.45865,39.918593,10677,81.6,是,精装
BJ0000063,高米店104.3㎡简装整租,整租,已租,贝壳找房,大兴区,高米店,116.354195,39.761493,3333,104.3,是,简装
BJ0000064,马家堡39.5㎡精装整租,整租,在租,贝壳找房,丰台区,马家堡,116.282132,39.855996,5928,39.5,否,精装
BJ0000065,金顶街10.4㎡毛坯整租,整租,在租,自如,石景山区,金顶街,116.208486,39.885629,5710,10.4,否,毛坯
BJ0000066,酒仙桥37.1㎡豪装整租,整租,待审核,链家,朝阳区,酒仙桥,116.417515,39.922517,8543,37.1,否,豪装
BJ0000067,天坛14.6㎡简装合租,合租,在租,贝壳找房,东城区,天坛,116.402665,39.942111,3649,14.6,是,简装
BJ0000068,公主坟123.5㎡简装整租,整租,在租,安居客,海淀区,公主坟,116.327193,39.985294,5633,123.5,是,简装
BJ0000069,金融街29.7㎡简装合租,合租,在租,贝壳找房,西城区,金融街,116.342285,39.915938,3197,29.7,是,简装
BJ0000070,丰台科技园111.5㎡简装整租,整租,在租,自如,丰台区,丰台科技园,116.264976,39.885812,4038,111.5,否,简装
BJ0000071,果园91.3㎡精装整租,整租,在租,58同城,通州区,果园,116.683878,39.94792,6077,91.3,否,精装
BJ0000072,枣园51.0㎡简装整租,整租,在租,链家,大兴区,枣园,116.32849,39.749817,5144,51.0,否,简装
BJ0000073,昌平镇16.3㎡简装合租,合租,在租,贝壳找房,昌平区,昌平镇,116.234286,40.20831,1580,16.3,否,简装
BJ0000074,黄村21.5㎡豪装合租,合租,在租,贝壳找房,大兴区,黄村,116.326754,39.724638,2195,21.5,否,豪装
BJ0000075,城子11.5㎡简装合租,合租,在租,安居客,门头沟区,城子,116.102183,39.947614,1476,11.5,否,简装
BJ0000076,劲松16.9㎡精装合租,合租,待审核,贝壳找房,朝阳区,劲松,116.466022,39.902202,2815,16.9,是,精装
BJ0000077,大红门106.4㎡豪装整租,整租,已租,58同城,丰台区,大红门,116.316791,39.821372,7381,106.4,是,豪装
BJ0000078,陶然亭17.8㎡精装合租,合租,已租,链家,西城区,陶然亭,116.398274,39.875679,2692,17.8,是,精装
BJ0000079,国贸19.0㎡简装合租,合租,在租,贝壳找房,朝阳区,国贸,116.452259,39.911604,2989,19.0,是,简装
BJ0000080,牡丹园100.4㎡简装整租,整租,在租,58同城,海淀区,牡丹园,116.270638,39.954638,7899,100.4,是,简装
BJ0000081,月坛111.6㎡简装整租,整租,已租,链家,西城区,月坛,116.334532,39.902509,8961,111.6,是,简装
BJ0000082,兴谷19.6㎡精装合租,合租,在租,安居客,平谷区,兴谷,117.140814,40.167227,1320,19.6,是,精装
BJ0000083,生物医药基地15.7㎡简装合租,合租,在租,自如,大兴区,生物医药基地,116.354035,39.753867,1547,15.7,否,简装
BJ0000084,西三旗24.0㎡精装合租,合租,待审核,安居客,海淀区,西三旗,116.29124,39.935364,2848,24.0,是,精装
BJ0000085,房山城关113.5㎡精装整租,整租,待审核,自如,房山区,房山城关,116.163025,39.740097,4248,113.5,否,精装
BJ0000086,沙河54.6㎡精装整租,整租,在租,链家,昌平区,沙河,116.198424,40.212266,5762,54.6,是,精装
BJ0000087,清河18.4㎡豪装合租,合租,在租,58同城,海淀区,清河,116.276706,39.921302,3630,18.4,否,豪装
BJ0000088,德胜门201.3㎡精装独栋,独栋,待审核,链家,西城区,德胜门,116.329628,39.874977,34936,201.3,是,精装
BJ0000089,土桥39.5㎡精装整租,整租,在租,贝壳找房,通州区,土桥,116.65063,39.928882,7094,39.5,是,精装
BJ0000090,房山城关18.4㎡精装合租,合租,已租,自如,房山区,房山城关,116.111248,39.767854,1294,18.4,是,精装
BJ0000091,新街口87.7㎡精装整租,整租,在租,安居客,西城区,新街口,116.377336,39.919772,6171,87.7,否,精装
BJ0000092,太阳宫23.5㎡精装合租,合租,在租,58同城,朝阳区,太阳宫,116.42214,39.942949,3635,23.5,否,精装
BJ0000093,黄村58.1㎡精装整租,整租,在租,安居客,大兴区,黄村,116.354185,39.688862,3241,58.1,否,精装
BJ0000094,枣园21.3㎡精装合租,合租,待审核,贝壳找房,大兴区,枣园,116.337162,39.715763,1741,21.3,否,精装
BJ0000095,九棵树53.7㎡简装整租,整租,在租,贝壳找房,通州区,九棵树,116.653743,39.946622,5985,53.7,是,简装
BJ0000096,大望路11.6㎡简装合租,合租,已租,贝壳找房,朝阳区,大望路,116.453445,39.927829,2450,11.6,是,简装
BJ0000097,北苑18.7㎡简装合租,合租,在租,链家,朝阳区,北苑,116.455573,39.942517,2588,18.7,是,简装
BJ0000098,九棵树23.4㎡精装合租,合租,在租,链家,通州区,九棵树,116.693387,39.924446,1620,23.4,否,精装
BJ0000099,望京43.9㎡精装整租,整租,待审核,链家,朝阳区,望京,116.450417,39.925927,9781,43.9,否,精装
BJ0000100,刘家窑29.1㎡毛坯整租,整租,在租,贝壳找房,丰台区,刘家窑,116.255288,39.859093,4016,29.1,否,毛坯
BJ0000101,上地171.4㎡简装独栋,独栋,在租,安居客,海淀区,上地,116.322578,39.986912,30720,171.4,否,简装
BJ0000102,管庄60.5㎡精装整租,整租,待审核,链家,朝阳区,管庄,116.464493,39.954723,10396,60.5,是,精装
BJ0000103,潘家园70.4㎡简装整租,整租,在租,贝壳找房,朝阳区,潘家园,116.420711,39.914587,5584,70.4,是,简装
BJ0000104,九棵树10.3㎡精装合租,合租,在租,贝壳找房,通州区,九棵树,116.652549,39.903421,1834,10.3,是,精装
BJ0000105,西罗园59.5㎡精装整租,整租,在租,58同城,丰台区,西罗园,116.300371,39.822133,4884,59.5,是,精装
BJ0000106,亦庄81.3㎡简装整租,整租,在租,58同城,大兴区,亦庄,116.311635,39.729407,4543,81.3,是,简装
BJ0000107,西单18.9㎡简装合租,合租,在租,58同城,西城区,西单,116.394969,39.918061,2434,18.9,否,简装
BJ0000108,沙河68.4㎡简装整租,整租,在租,58同城,昌平区,沙河,116.19825,40.248259,4149,68.4,是,简装
BJ0000109,潘家园99.8㎡精装整租,整租,在租,安居客,朝阳区,潘家园,116.454158,39.923448,6617,99.8,是,精装
BJ0000110,酒仙桥15.8㎡毛坯合租,合租,在租,贝壳找房,朝阳区,酒仙桥,116.455941,39.895172,3077,15.8,是,毛坯
BJ0000111,青塔34.8㎡简装整租,整租,在租,贝壳找房,丰台区,青塔,116.272857,39.896178,5930,34.8,是,简装
BJ0000112,十里堡10.1㎡简装合租,合租,已租,安居客,朝阳区,十里堡,116.470036,39.887138,2913,10.1,是,简装
BJ0000113,八角91.4㎡简装整租,整租,待审核,58同城,石景山区,八角,116.255424,39.911333,6084,91.4,否,简装
BJ0000114,北苑57.8㎡简装整租,整租,在租,贝壳找房,朝阳区,北苑,116.417305,39.900819,6102,57.8,是,简装
BJ0000115,知春路50.6㎡简装整租,整租,在租,贝壳找房,海淀区,知春路,116.262189,39.969771,8424,50.6,否,简装
BJ0000116,国贸77.5㎡简装整租,整租,在租,自如,朝阳区,国贸,116.450119,39.892314,8199,77.5,是,简装
BJ0000117,万寿路9.5㎡简装合租,合租,在租,58同城,海淀区,万寿路,116.323055,39.972909,2543,9.5,是,简装
BJ0000118,酒仙桥59.1㎡毛坯整租,整租,已租,链家,朝阳区,酒仙桥,116.442402,39.899123,4455,59.1,否,毛坯
BJ0000119,鲁谷21.9㎡精装合租,合租,已租,58同城,石景山区,鲁谷,116.235654,39.935711,2101,21.9,否,精装
BJ0000120,十里堡99.8㎡简装整租,整租,已租,链家,朝阳区,十里堡,116.457609,39.900002,7667,99.8,是,简装
BJ0000121,安定门125.9㎡精装独栋,独栋,已租,贝壳找房,东城区,安定门,116.405427,39.96427,38153,125.9,否,精装
BJ0000122,大望路85.7㎡简装整租,整租,在租,自如,朝阳区,大望路,116.407674,39.919447,7696,85.7,是,简装
BJ0000123,白纸坊17.2㎡简装合租,合租,待审核,链家,西城区,白纸坊,116.337788,39.906998,2122,17.2,是,简装
BJ0000124,中关村19.1㎡精装合租,合租,在租,贝壳找房,海淀区,中关村,116.283495,39.927227,1818,19.1,否,精装
BJ0000125,北七家81.0㎡精装整租,整租,在租,链家,昌平区,北七家,116.247643,40.216588,5053,81.0,否,精装
BJ0000126,学院路11.5㎡精装合租,合租,在租,58同城,海淀区,学院路,116.267748,39.938375,3722,11.5,是,精装
BJ0000127,草桥50.0㎡精装整租,整租,在租,58同城,丰台区,草桥,116.270302,39.818625,5238,50.0,否,精装
BJ0000128,高米店11.6㎡豪装合租,合租,在租,58同城,大兴区,高米店,116.345632,39.718036,1853,11.6,是,豪装
BJ0000129,西红门13.5㎡精装合租,合租,待审核,链家,大兴区,西红门,116.309593,39.733352,1973,13.5,否,精装
BJ0000130,崇文门25.3㎡精装合租,合租,待审核,贝壳找房,东城区,崇文门,116.44092,39.893548,2143,25.3,是,精装
BJ0000131,磁器口79.9㎡毛坯整租,整租,已租,贝壳找房,东城区,磁器口,116.396265,39.948763,5914,79.9,是,毛坯
BJ0000132,八角14.0㎡毛坯合租,合租,在租,贝壳找房,石景山区,八角,116.209823,39.880545,1436,14.0,是,毛坯
BJ0000133,延庆城区43.9㎡精装整租,整租,已租,58同城,延庆区,延庆城区,115.978638,40.442397,3029,43.9,是,精装
BJ0000134,公主坟14.2㎡简装合租,合租,在租,链家,海淀区,公主坟,116.279964,39.997702,2171,14.2,否,简装
BJ0000135,长阳50.5㎡精装整租,整租,在租,链家,房山区,长阳,116.171194,39.767247,5190,50.5,是,精装
BJ0000136,北太平庄13.5㎡简装合租,合租,在租,贝壳找房,海淀区,北太平庄,116.319047,39.965214,2382,13.5,是,简装
BJ0000137,白纸坊10.5㎡简装合租,合租,在租,链家,西城区,白纸坊,116.335421,39.933997,2347,10.5,是,简装
BJ0000138,梨园8㎡简装独栋,独栋,在租,58同城,通州区,梨园,116.681941,39.946905,17703,8,是,简装
BJ0000139,马驹桥24.8㎡精装合租,合租,在租,链家,通州区,马驹桥,116.668116,39.932996,1161,24.8,否,精装
BJ0000140,龙泽98.9㎡简装整租,整租,在租,贝壳找房,昌平区,龙泽,116.201582,40.25144,3933,98.9,否,简装
BJ0000141,草桥96.3㎡精装整租,整租,在租,58同城,丰台区,草桥,116.32479,39.869887,7848,96.3,是,精装
BJ0000142,后沙峪34.8㎡豪装整租,整租,在租,链家,顺义区,后沙峪,116.681011,40.131648,4825,34.8,否,豪装
BJ0000143,五道口11.1㎡精装合租,合租,在租,链家,海淀区,五道口,116.278048,39.970105,2047,11.1,否,精装
BJ0000144,马驹桥16.5㎡毛坯合租,合租,已租,链家,通州区,马驹桥,116.68926,39.89651,945,16.5,否,毛坯
BJ0000145,上地14.3㎡简装合租,合租,在租,贝壳找房,海淀区,上地,116.319357,39.952627,2361,14.3,否,简装
BJ0000146,五道口125.7㎡精装整租,整租,在租,贝壳找房,海淀区,五道口,116.313089,39.931946,5724,125.7,否,精装
BJ0000147,雁栖45.7㎡精装整租,整租,在租,58同城,怀柔区,雁栖,116.66963,40.286561,2980,45.7,是,精装
BJ0000148,角门19.0㎡简装合租,合租,在租,自如,丰台区,角门,116.324015,39.890685,1820,19.0,是,简装
BJ0000149,昌平镇16.8㎡精装合租,合租,在租,自如,昌平区,昌平镇,116.193054,40.256319,1530,16.8,否,精装
BJ0000150,王府井19.5㎡毛坯合租,合租,在租,58同城,东城区,王府井,116.443774,39.922974,2383,19.5,是,毛坯
BJ0000151,丰台科技园15.6㎡简装合租,合租,在租,安居客,丰台区,丰台科技园,116.277908,39.854528,1675,15.6,是,简装
BJ0000152,西二旗16.0㎡精装合租,合租,在租,链家,海淀区,西二旗,116.273925,39.96003,2665,16.0,是,精装
BJ0000153,北新桥40.3㎡毛坯整租,整租,在租,58同城,东城区,北新桥,116.450509,39.913982,7518,40.3,是,毛坯
BJ0000154,十里堡14.0㎡简装合租,合租,待审核,安居客,朝阳区,十里堡,116.457405,39.959392,3219,14.0,是,简装
BJ0000155,生物医药基地57.2㎡简装整租,整租,在租,贝壳找房,大兴区,生物医药基地,116.347578,39.705003,3864,57.2,否,简装
BJ0000156,丰台科技园22.6㎡精装整租,整租,在租,贝壳找房,丰台区,丰台科技园,116.262263,39.853783,5782,22.6,否,精装
BJ0000157,霍营43.6㎡简装整租,整租,在租,贝壳找房,昌平区,霍营,116.196183,40.191747,3120,43.6,否,简装
BJ0000158,西三旗61.5㎡豪装整租,整租,待审核,贝壳找房,海淀区,西三旗,116.31246,39.983592,9007,61.5,是,豪装
BJ0000159,西红门70.6㎡豪装整租,整租,在租,贝壳找房,大兴区,西红门,116.317882,39.743199,3926,70.6,否,豪装
BJ0000160,雁栖45.8㎡简装整租,整租,在租,链家,怀柔区,雁栖,116.667969,40.340469,2638,45.8,否,简装
BJ0000161,安定门17.7㎡精装合租,合租,在租,链家,东城区,安定门,116.442236,39.910191,2038,17.7,否,精装
BJ0000162,五道口46.5㎡精装整租,整租,在租,安居客,海淀区,五道口,116.291064,39.976689,7759,46.5,否,精装
BJ0000163,石门201.8㎡简装独栋,独栋,已租,贝壳找房,顺义区,石门,116.652696,40.106156,17354,201.8,否,简装
BJ0000164,马坡16.6㎡毛坯合租,合租,已租,链家,顺义区,马坡,116.647931,40.157208,2009,16.6,是,毛坯
BJ0000165,中关村96.2㎡精装整租,整租,已租,自如,海淀区,中关村,116.258741,39.964737,7477,96.2,否,精装
BJ0000166,安定门17.5㎡简装合租,合租,在租,58同城,东城区,安定门,116.440705,39.914955,1982,17.5,是,简装
BJ0000167,常营16.1㎡精装合租,合租,在租,贝壳找房,朝阳区,常营,116.471992,39.952763,2298,16.1,是,精装
BJ0000168,学院路14.6㎡简装合租,合租,在租,链家,海淀区,学院路,116.334323,39.943456,2893,14.6,是,简装
BJ0000169,白纸坊23.3㎡简装合租,合租,在租,58同城,西城区,白纸坊,116.399848,39.943024,2243,23.3,否,简装
BJ0000170,广安门15.9㎡简装合租,合租,已租,贝壳找房,西城区,广安门,116.359268,39.915939,2687,15.9,是,简装
BJ0000171,劲松21.3㎡毛坯合租,合租,在租,链家,朝阳区,劲松,116.445754,39.909943,2656,21.3,是,毛坯
BJ0000172,马驹桥15.7㎡简装合租,合租,在租,安居客,通州区,马驹桥,116.663752,39.876775,1557,15.7,否,简装
BJ0000173,和平里23.3㎡简装合租,合租,待审核,58同城,东城区,和平里,116.433862,39.920176,1876,23.3,否,简装
BJ0000174,安贞71.5㎡简装整租,整租,在租,链家,朝阳区,安贞,116.441266,39.903967,8231,71.5,否,简装
BJ0000175,八角29.7㎡简装整租,整租,在租,58同城,石景山区,八角,116.25227,39.938141,5240,29.7,是,简装
BJ0000176,北苑158.6㎡简装独栋,独栋,在租,贝壳找房,通州区,北苑,116.683886,39.929994,16059,158.6,是,简装
BJ0000177,亚运村70.2㎡简装整租,整租,在租,安居客,朝阳区,亚运村,116.478493,39.939002,5173,70.2,是,简装
BJ0000178,方庄13.4㎡毛坯整租,整租,在租,贝壳找房,丰台区,方庄,116.266579,39.822039,6596,13.4,是,毛坯
BJ0000179,天竺23.5㎡精装合租,合租,待审核,贝壳找房,顺义区,天竺,116.640012,40.138033,1572,23.5,是,精装
BJ0000180,天通苑24.9㎡豪装合租,合租,在租,自如,昌平区,天通苑,116.241279,40.214876,1945,24.9,否,豪装
BJ0000181,德胜门20.1㎡精装合租,合租,在租,链家,西城区,德胜门,116.349991,39.88671,3348,20.1,是,精装
BJ0000182,天坛15.4㎡毛坯合租,合租,在租,自如,东城区,天坛,116.395429,39.904767,1638,15.4,否,毛坯
BJ0000183,清河56.7㎡简装整租,整租,在租,安居客,海淀区,清河,116.306398,39.922464,5500,56.7,否,简装
BJ0000184,苹果园49.6㎡简装整租,整租,在租,自如,石景山区,苹果园,116.257673,39.942566,4175,49.6,否,简装
BJ0000185,天竺10.1㎡精装合租,合租,已租,58同城,顺义区,天竺,116.640229,40.112845,1777,10.1,否,精装
BJ0000186,旧宫105.0㎡精装整租,整租,在租,58同城,大兴区,旧宫,116.374446,39.716456,4365,105.0,是,精装
BJ0000187,德胜门23.1㎡简装合租,合租,已租,链家,西城区,德胜门,116.341695,39.890401,3870,23.1,是,简装
