name,level,region,address,price,open_time,visit_duration,best_visit_time,source_url,source_site,crawl_time
北京世园公园,\N,延庆区,北京市延庆区世园公园,成人票：60元 优惠票适用人群: 1.全日制大、中、小学生(不含成人教育)及6周岁(不含)至18周岁(含)的未成年人，凭身份证或者学生证可享受优惠； 2.享社会保障金人员，凭社会保障金领取证可享受优惠； 免票适用人群: 1.6周岁(含)以下，凭身份证件;身高1.3米(含)以下，按入园时实际身高；需在有成人购票陪同的情况下方可入园； 2.残疾人(含军残)，凭有效残疾人证或军人残疾证； 3.现役军人，需持本人士兵证、军官证； 4.退役军人：退役军人优待证、军官转业证、退役证等有效证明； 5.“三属”人员：烈士遗属优待证、因公牺牲军人遗属优待证、病故军人遗属优待证及相应身份证明； 6.消防救援队员需持本人国家综合性消防救援队伍干部证、消防员证； 7.持北京通一养老助残卡的，凭正式卡入园，使用临时卡，需同时出示本人身份证。 成人票：60元 优惠票适用人群: 1.全日制大、中、小学生(不含成人教育)及6周岁(不含)至18周岁(含)的未成年人，凭身份证或者学生证可享受优惠； 2.享社会保障金人员，凭社会保障金领取证可享受优惠； 免票适用人群: 1.6周岁(含)以下，凭身份证件;身高1.3米(含)以下，按入园时实际身高；需在有成人购票陪同的情况下方可入园； 2.残疾人(含军残)，凭有效残疾人证或军人残疾证； 3.现役军人，需持本人士兵证、军官证； 4.退役军人：退役军人优待证、军官转业证、退役证等有效证明； 5.“三属”人员：烈士遗属优待证、因公牺牲军人遗属优待证、病故军人遗属优待证及相应身份证明； 6.消防救援队员需持本人国家综合性消防救援队伍干部证、消防员证； 7.持北京通一养老助残卡的，凭正式卡入园，使用临时卡，需同时出示本人身份证。 成人票：60元 优惠票适用人群: 1.全日制大、中、小学生(不含成人教育)及6周岁(不含)至18周岁(含)的未成年人，凭身份证或者学生证可享受优惠； 2.享社会保障金人员，凭社会保障金领取证可享受优惠； 免票适用人群: 1.6周岁(含)以下，凭身份证件;身高1.3米(含)以下，按入园时实际身高；需在有成人购票陪同的情况下方可入园； 2.残疾人(含军残)，凭有效残疾人证或军人残疾证； 3.现役军人，需持本人士兵证、军官证； 4.退役军人：退役军人优待证、军官转业证、退役证等有效证明； 5.“三属”人员：烈士遗属优待证、因公牺牲军人遗属优待证、病故军人遗属优待证及相应身份证明； 6.消防救援队员需持本人国家综合性消防救援队伍干部证、消防员证； 7.持北京通一养老助残卡的，凭正式卡入园，使用临时卡，需同时出示本人身份证。 成人票：60元 优惠票适用人群: 1.全日制大、中、小学生(不含成人教育)及6周岁(不含)至18周岁(含)的未成年人，凭身份证或者学生证可享受优惠； 2.享社会保障金人员，凭社会保障金领取证可享受优惠； 免票适用人群: 1.6周岁(含)以下，凭身份证件;身高1.3米(含)以下，按入园时实际身高；需在有成人购票陪同的情况下方可入园； 2.残疾人(含军残)，凭有效残疾人证或军人残疾证； 3.现役军人，需持本人士兵证、军官证； 4.退役军人：退役军人优待证、军官转业证、退役证等有效证明； 5.“三属”人员：烈士遗属优待证、因公牺牲军人遗属优待证、病故军人遗属优待证及相应身份证明； 6.消防救援队员需持本人国家综合性消防救援队伍干部证、消防员证； 7.持北京通一养老助残卡的，凭正式卡入园，使用临时卡，需同时出示本人身份证。 成人票：60元 优惠票适用人群: 1.全日制大、中、小学生(不含成人教育)及6周岁(不含)至18周岁(含)的未成年人，凭身份证或者学生证可享受优惠； 2.享社会保障金人员，凭社会保障金领取证可享受优惠； 免票适用人群: 1.6周岁(含)以下，凭身份证件;身高1.3米(含)以下，按入园时实际身高；需在有成人购票陪同的情况下方可入园； 2.残疾人(含军残)，凭有效残疾人证或军人残疾证； 3.现役军人，需持本人士兵证、军官证； 4.退役军人：退役军人优待证、军官转业证、退役证等有效证明； 5.“三属”人员：烈士遗属优待证、因公牺牲军人遗属优待证、病故军人遗属优待证及相应身份证明； 6.消防救援队员需持本人国家综合性消防救援队伍干部证、消防员证； 7.持北京通一养老助残卡的，凭正式卡入园，使用临时卡，需同时出示本人身份证。,日间 运营时间：9:00—17:00 检票时间：9:00—16:30 夜间 运营时间：17:00—22:00 检票时间：17:00—22:00,4-5小时,春、夏、秋、冬,https://s.visitbeijing.com.cn/attraction/120984,北京市文旅局/北京旅游网,2026-03-24T17:19:21
北京欢乐谷,4A,朝阳区,北京市朝阳区东四环小武基北路,成人门票：299元/人（高峰日：339/人）； 儿童票：195元/人；“儿童票”定义：身高1.2 米（含1.2 米）至1.5 米（含1.5 米）的儿童； 老人票：195元/人；“长者票”定义：65 周岁至69 周岁的长者（凭有效身份证验票入园）。 夜场票：195元/人； 成人门票：299元/人（高峰日：339/人）； 儿童票：195元/人；“儿童票”定义：身高1.2 米（含1.2 米）至1.5 米（含1.5 米）的儿童； 老人票：195元/人；“长者票”定义：65 周岁至69 周岁的长者（凭有效身份证验票入园）。 夜场票：195元/人； 成人门票：299元/人（高峰日：339/人）； 儿童票：195元/人；“儿童票”定义：身高1.2 米（含1.2 米）至1.5 米（含1.5 米）的儿童； 老人票：195元/人；“长者票”定义：65 周岁至69 周岁的长者（凭有效身份证验票入园）。 夜场票：195元/人； 成人门票：299元/人（高峰日：339/人）； 儿童票：195元/人；“儿童票”定义：身高1.2 米（含1.2 米）至1.5 米（含1.5 米）的儿童； 老人票：195元/人；“长者票”定义：65 周岁至69 周岁的长者（凭有效身份证验票入园）。 夜场票：195元/人； 成人门票：299元/人（高峰日：339/人）； 儿童票：195元/人；“儿童票”定义：身高1.2 米（含1.2 米）至1.5 米（含1.5 米）的儿童； 老人票：195元/人；“长者票”定义：65 周岁至69 周岁的长者（凭有效身份证验票入园）。 夜场票：195元/人；,周一至周五：10:00~22:00 周六日：09:30~22:00,4小时,4月-10月,https://s.visitbeijing.com.cn/attraction/117813,北京市文旅局/北京旅游网,2026-03-24T17:19:21
富国海底世界,\N,朝阳区,北京市朝阳区工人体育场南门,门票价格：成人150元/人，儿童90元/人 1米以下儿童免费，80岁以上老人免票（凭身份证）。 年卡价格：成人年卡：380元/人；儿童年卡：200元/人。 办理年卡及计次卡需持本人身份证及一寸照片到富国海底世界售票处办理。 门票价格：成人150元/人，儿童90元/人 1米以下儿童免费，80岁以上老人免票（凭身份证）。 年卡价格：成人年卡：380元/人；儿童年卡：200元/人。 办理年卡及计次卡需持本人身份证及一寸照片到富国海底世界售票处办理。 门票价格：成人150元/人，儿童90元/人 1米以下儿童免费，80岁以上老人免票（凭身份证）。 年卡价格：成人年卡：380元/人；儿童年卡：200元/人。 办理年卡及计次卡需持本人身份证及一寸照片到富国海底世界售票处办理。 门票价格：成人150元/人，儿童90元/人 1米以下儿童免费，80岁以上老人免票（凭身份证）。 年卡价格：成人年卡：380元/人；儿童年卡：200元/人。 办理年卡及计次卡需持本人身份证及一寸照片到富国海底世界售票处办理。 门票价格：成人150元/人，儿童90元/人 1米以下儿童免费，80岁以上老人免票（凭身份证）。 年卡价格：成人年卡：380元/人；儿童年卡：200元/人。 办理年卡及计次卡需持本人身份证及一寸照片到富国海底世界售票处办理。,\N,3小时,全年,https://s.visitbeijing.com.cn/attraction/101915,北京市文旅局/北京旅游网,2026-03-24T17:19:21
挂甲峪旅游度假村,\N,平谷区,北京市平谷区大华山镇挂甲峪村,\N,全天开放,5-6小时,四季皆宜,https://s.visitbeijing.com.cn/attraction/120649,北京市文旅局/北京旅游网,2026-03-24T17:19:21
法国邮政局旧址,\N,东城区,北京市东城区东交民巷路19号,门票：免费 门票：免费 门票：免费 门票：免费 门票：免费,全天,30分钟左右,全年,https://s.visitbeijing.com.cn/attraction/120959,北京市文旅局/北京旅游网,2026-03-24T17:19:22
正阳美术馆,\N,北京市,北京市正阳门外前门大街,门票：免费 门票：免费 门票：免费 门票：免费 门票：免费,\N,1个小时左右,全年,https://s.visitbeijing.com.cn/attraction/120850,北京市文旅局/北京旅游网,2026-03-24T17:19:22
袁崇焕祠墓,\N,东城区,北京市东城区东花市斜街（原是广东义园旧址）,门票：2元 门票：2元 门票：2元 门票：2元 门票：2元,\N,一个小时左右,全年,https://s.visitbeijing.com.cn/attraction/120813,北京市文旅局/北京旅游网,2026-03-24T17:19:22
北锣鼓巷,\N,东城区,北京市东城区安定门内大街西侧,门票：免费 门票：免费 门票：免费 门票：免费 门票：免费,全天,1-2个小时,全年,https://s.visitbeijing.com.cn/attraction/120810,北京市文旅局/北京旅游网,2026-03-24T17:19:22
齐白石故居,\N,西城区,北京市西城区辟才胡同内跨车胡同13号,门票：免费 门票：免费 门票：免费 门票：免费 门票：免费,全天,大约30分钟左右,全年,https://s.visitbeijing.com.cn/attraction/120921,北京市文旅局/北京旅游网,2026-03-24T17:19:22
漪澜堂,\N,西城区,北京市西城区文津街1号,门票：无需门票，包含于北海景区内 门票：无需门票，包含于北海景区内 门票：无需门票，包含于北海景区内 门票：无需门票，包含于北海景区内 门票：无需门票，包含于北海景区内,08:30-18:00,1个小时左右,全年,https://s.visitbeijing.com.cn/attraction/120907,北京市文旅局/北京旅游网,2026-03-24T17:19:22
