name,venue_type,region,address,score,comment_count,avg_cost,open_time,source_url,source_site,crawl_time
Superfit速展飞,健身房,\N,工人体育场西路50号,90,\N,\N,07:00-23:00,https://www.cityhui.com/shop/17430.html,城市惠,2026-03-24T17:21:52
Raw Fitness戎马,健身房,\N,万达广场7号楼101地下一层,88,\N,\N,周一至周五06:00-23:00；周六日08:00-22：00,https://www.cityhui.com/shop/17431.html,城市惠,2026-03-24T17:21:53
Philosophy,健身房,\N,东大桥路9号北京侨福芳草地购物中心L3层L3-D3-11,87,\N,\N,周一至周五：6:00-22:00；周六日：08:00-22:00,https://www.cityhui.com/shop/17432.html,城市惠,2026-03-24T17:21:53
OXYGYM奥美氧舱（世贸天阶店）,健身房,\N,光华路甲9号世贸天阶南楼3-4层,86,\N,\N,6:30-22:30,https://www.cityhui.com/shop/17433.html,城市惠,2026-03-24T17:21:54
Trainyard 炼·工场,健身房,\N,建国门外大街1号新国贸饭店4层,84,\N,\N,提示信息：此页面为用户创建公共信息，本站聚合展示，如有错误请联系客服反馈。 纠错反馈,https://www.cityhui.com/shop/17434.html,城市惠,2026-03-24T17:21:54
嘉里健身,健身房,\N,光华路1号嘉里商场F2层,82,\N,\N,全天24小时,https://www.cityhui.com/shop/17435.html,城市惠,2026-03-24T17:21:55
宝力豪Powerhouse GYM（IFC店）,健身房,\N,建国门外大街8号(IFC国际财源中心B1),81,\N,\N,周一至周五：07:00-22:00；周六日：10:00-22:00,https://www.cityhui.com/shop/17436.html,城市惠,2026-03-24T17:21:56
ZWYN,健身房,\N,三里屯路33号3·3大厦F6层6008、6005,80,\N,\N,全天24小时（泳池06:00-22:00）,https://www.cityhui.com/shop/17437.html,城市惠,2026-03-24T17:21:56
Muscle Dog,健身房,\N,宫霄国际B2,79,\N,\N,周一至周五：07:00-23:00；周六日：09:00-22:00,https://www.cityhui.com/shop/17438.html,城市惠,2026-03-24T17:21:57
green essence青籁优体,健身房,\N,南三里屯路1号通盈中心洲际酒店5层,77,\N,\N,提示信息：此页面为用户创建公共信息，本站聚合展示，如有错误请联系客服反馈。 纠错反馈,https://www.cityhui.com/shop/17439.html,城市惠,2026-03-24T17:21:57
Le Wellness乐健身（望京凯德MALL店）,健身房,\N,广顺北大街33号凯德MALL·望京10F层10-01,75,\N,\N,07:00-22:00,https://www.cityhui.com/shop/17440.html,城市惠,2026-03-24T17:21:58
一兆韦德（安贞环贸店）,健身房,朝阳区,朝阳区亮马桥外交公寓东方东路19号,71,\N,\N,8:00-22:00,https://www.cityhui.com/shop/17441.html,城市惠,2026-03-24T17:21:58
北京南山滑雪滑水度假村,滑雪场,\N,河南寨镇圣水头村北京南山滑雪滑水度假村,84,\N,\N,08:45—17:30（冬季），08:45—18:00（春季时间）,https://www.cityhui.com/shop/17442.html,城市惠,2026-03-24T17:21:59
北京军都山滑雪场,滑雪场,\N,崔村镇真顺村588号,82,\N,\N,日场08:00-18:00，夜场17:00-22:00,https://www.cityhui.com/shop/17443.html,城市惠,2026-03-24T17:22:00
北京怀北国际滑雪场,滑雪场,\N,怀北镇河防口村548号,81,\N,\N,日场：8:30-16:30；夜场：17:00-21:00,https://www.cityhui.com/shop/17444.html,城市惠,2026-03-24T17:22:00
北京渔阳国际滑雪场,滑雪场,\N,东高村镇大旺务村688号,80,\N,\N,冬季营业时间：08:30—17:00， 春季营业时间：08:30—17:30,https://www.cityhui.com/shop/17445.html,城市惠,2026-03-24T17:22:01
北京万龙八易滑雪场,滑雪场,\N,射击场路甲12号,79,\N,\N,日场：周一至周五:09:00-16:00、周六、周日、节假日:08:30-16:00；夜场：周日至周四:17:30-22:00、周五、周六、节假日:17:30-22:30,https://www.cityhui.com/shop/17446.html,城市惠,2026-03-24T17:22:01
北京万科石京龙滑雪场,滑雪场,\N,张山营镇旧小路,77,\N,\N,周一至周日：09:00-22:00,https://www.cityhui.com/shop/17447.html,城市惠,2026-03-24T17:22:02
金辉健身滑雪乐园,滑雪场,\N,温泉镇双坡路,72,\N,\N,周一至周四09:00--18:00，周末及法定节假日08:30--21:30；夜场时段为16:30-21:30（夜场仅每周五、六、日及法定节假日开放）,https://www.cityhui.com/shop/17448.html,城市惠,2026-03-24T17:22:02
优胜美地瑜伽,瑜伽馆,楼亮马桥官舍南区,东方东路19号院5号楼亮马桥官舍南区3层F-301号,84,\N,\N,10:00-20:00,https://www.cityhui.com/shop/17449.html,城市惠,2026-03-24T17:22:03
梵音瑜伽,瑜伽馆,\N,朝阳北路99号大悦城公寓2号楼506/509/512,83,\N,\N,10:00-20:00,https://www.cityhui.com/shop/17450.html,城市惠,2026-03-24T17:22:03
悠季瑜伽,瑜伽馆,\N,朝阳南路19号网球中心(近郡王府体育馆),81,\N,\N,工作日09:00-21:00、周末09:00-18:00,https://www.cityhui.com/shop/17451.html,城市惠,2026-03-24T17:22:04
静之婵瑜伽,瑜伽馆,海淀区,北京市海淀区万寿路甲一号恩济花园13号楼208,80,\N,\N,09:00-21:30,https://www.cityhui.com/shop/17452.html,城市惠,2026-03-24T17:22:05
科雯瑜伽,瑜伽馆,\N,德外大街德胜门外教场口9号院6号楼2层,79,\N,\N,09:00-21:00,https://www.cityhui.com/shop/17453.html,城市惠,2026-03-24T17:22:05
天悦瑜伽,瑜伽馆,\N,万丰路312号4层(9号线地铁七里庄站北500米路西),76,\N,\N,08:30-21:00,https://www.cityhui.com/shop/17454.html,城市惠,2026-03-24T17:22:06
青鸟瑜伽,瑜伽馆,\N,首体南路9号主语国际中央会所(近国家图书馆),75,\N,\N,09:00-21:00,https://www.cityhui.com/shop/17455.html,城市惠,2026-03-24T17:22:06
